code,region,sido,n_recv,s_recv,n_target,s_target,s_pct,n_pct
11110,종로구,서울특별시,16,70,321.0,367.0,19.07,4.98
11140,중구,서울특별시,7,84,278.0,417.0,20.14,2.52
11170,용산구,서울특별시,14,197,449.0,699.0,28.18,3.12
11200,성동구,서울특별시,9,161,602.0,752.0,21.41,1.5
11215,광진구,서울특별시,37,396,1147.0,1435.0,27.6,3.23
11230,동대문구,서울특별시,36,408,1059.0,1289.0,31.65,3.4
11260,중랑구,서울특별시,56,794,2267.0,2849.0,27.87,2.47
11290,성북구,서울특별시,56,560,1493.0,1920.0,29.17,3.75
11305,강북구,서울특별시,99,740,1779.0,2128.0,34.77,5.56
11320,도봉구,서울특별시,55,609,1778.0,1960.0,31.07,3.09
11350,노원구,서울특별시,43,642,2043.0,2619.0,24.51,2.1
11380,은평구,서울특별시,57,770,2025.0,2722.0,28.29,2.81
11410,서대문구,서울특별시,43,383,827.0,1102.0,34.75,5.2
11440,마포구,서울특별시,33,269,734.0,867.0,31.03,4.5
11470,양천구,서울특별시,41,601,1576.0,1955.0,30.74,2.6
11500,강서구,서울특별시,65,839,2358.0,2858.0,29.36,2.76
11530,구로구,서울특별시,62,643,1553.0,1893.0,33.97,3.99
11545,금천구,서울특별시,59,483,1156.0,1279.0,37.76,5.1
11560,영등포구,서울특별시,30,162,612.0,975.0,16.62,4.9
11590,동작구,서울특별시,27,331,775.0,1137.0,29.11,3.48
11620,관악구,서울특별시,34,519,1469.0,1893.0,27.42,2.31
11650,서초구,서울특별시,42,328,657.0,822.0,39.9,6.39
11680,강남구,서울특별시,10,303,768.0,1171.0,25.88,1.3
11710,송파구,서울특별시,25,617,1641.0,2029.0,30.41,1.52
11740,강동구,서울특별시,93,520,1643.0,1793.0,29.0,5.66
26110,중구,부산광역시,5,86,250.0,303.0,28.38,2.0
26140,서구,부산광역시,13,254,664.0,996.0,25.5,1.96
26170,동구,부산광역시,23,285,565.0,800.0,35.62,4.07
26200,영도구,부산광역시,23,366,875.0,1118.0,32.74,2.63
26230,부산진구,부산광역시,25,720,1780.0,2257.0,31.9,1.4
26260,동래구,부산광역시,35,541,1213.0,1661.0,32.57,2.89
26290,남구,부산광역시,32,464,1109.0,1419.0,32.7,2.89
26320,북구,부산광역시,17,827,1679.0,2220.0,37.25,1.01
26350,해운대구,부산광역시,44,851,1859.0,2483.0,34.27,2.37
26380,사하구,부산광역시,44,1056,2258.0,2975.0,35.5,1.95
26410,금정구,부산광역시,28,411,996.0,1376.0,29.87,2.81
26440,강서구,부산광역시,15,363,763.0,968.0,37.5,1.97
26470,연제구,부산광역시,10,399,1054.0,1294.0,30.83,0.95
26500,수영구,부산광역시,9,344,830.0,1037.0,33.17,1.08
26530,사상구,부산광역시,14,496,1145.0,1486.0,33.38,1.22
26710,기장군,부산광역시,37,685,1492.0,1888.0,36.28,2.48
27110,중구,대구광역시,7,182,410.0,491.0,37.07,1.71
27140,동구,대구광역시,134,914,2184.0,2496.0,36.62,6.14
27170,서구,대구광역시,21,607,1400.0,1836.0,33.06,1.5
27200,남구,대구광역시,37,560,1232.0,1727.0,32.43,3.0
27230,북구,대구광역시,102,1060,2750.0,3107.0,34.12,3.71
27260,수성구,대구광역시,82,800,1905.0,2569.0,31.14,4.3
27290,달서구,대구광역시,144,1404,3253.0,3928.0,35.74,4.43
27710,달성군,대구광역시,54,940,1915.0,2474.0,38.0,2.82
27720,군위군,대구광역시,4,31,77.0,109.0,28.44,5.19
28110,중구,인천광역시,4,387,950.0,1399.0,27.66,0.42
28140,동구,인천광역시,10,152,342.0,417.0,36.45,2.92
28177,미추홀구,인천광역시,40,1067,3684.0,4412.0,24.18,1.09
28185,연수구,인천광역시,41,534,1403.0,1883.0,28.36,2.92
28200,남동구,인천광역시,77,1647,4136.0,5117.0,32.19,1.86
28237,부평구,인천광역시,77,1417,3132.0,4184.0,33.87,2.46
28245,계양구,인천광역시,65,719,2060.0,2530.0,28.42,3.16
28260,서구,인천광역시,57,1315,4172.0,5259.0,25.0,1.37
28710,강화군,인천광역시,7,167,369.0,489.0,34.15,1.9
28720,옹진군,인천광역시,2,11,47.0,56.0,19.64,4.26
29110,동구,광주광역시,19,278,453.0,828.0,33.57,4.19
29140,서구,광주광역시,75,869,2089.0,2666.0,32.6,3.59
29155,남구,광주광역시,42,813,1823.0,2336.0,34.8,2.3
29170,북구,광주광역시,131,1691,3740.0,4780.0,35.38,3.5
29200,광산구,광주광역시,112,1560,3740.0,4754.0,32.81,2.99
30110,동구,대전광역시,48,723,1814.0,2442.0,29.61,2.65
30140,중구,대전광역시,73,650,1538.0,1822.0,35.68,4.75
