name,type,sido,sgg,addr,tel
  국민재활발달센터,기타종목,대구광역시,수성구,대구광역시 수성구 범안로 54,
 (구)SB복싱멀티짐,복싱,경기도,고양시,경기도 고양시 일산서구 가좌로 10,
 GDR아카데미 세종나성점,골프,세종특별자치시,세종시,세종특별자치시 나성북1로 18,0448670752
 Kl다이어트댄스,에어로빅,경상남도,김해시,경상남도 김해시 율하2로58번길 40,
 TF복싱짐,복싱,경상북도,경주시,경상북도 경주시 유림로5번길 149,0547749768
 kbf복싱클럽,복싱,충청남도,예산군,충청남도 예산군 예산읍 예산로 188,0413355988
 강성 체육관 킥복싱 무에타이,복싱,충청북도,충주시,충청북도 충주시 계명대로 228,
 경남대 점핑다이어트스쿨,기타종목,경상남도,창원시,경상남도 창원시 마산합포구 해안대로 1,
 뉴바디점핑다이어트,종합체육시설,경기도,포천시,경기도 포천시 호병로1길 2,
 동구국민체육센터,수영,울산광역시,동구,울산광역시 동구 봉수로 153,
 럭키짐LUCKY GYM,헬스,부산광역시,연제구,부산광역시 연제구 과정로343번길 22,
 매곡점핑다이어트,종합체육시설,울산광역시,북구,울산광역시 북구 매곡1로 6,0522827779
 무브H 유도.번지피지오,유도,경기도,양평군,경기도 양평군 양평읍 남북로 59,
 영주스포렉스,헬스,경상북도,영주시,경상북도 영주시 목민로 18,0546379009
 유노점프성복점,줄넘기,경기도,용인시,경기도 용인시 수지구 성복2로 230,0312645656
 익산엑스짐,기타종목,전북특별자치도,익산시,전라북도 익산시 고봉로 308,
 캡스톤주짓수,주짓수,전라남도,장흥군,전라남도 장흥군 장흥읍 중앙로 7,0618622177
 한스필라테스,필라테스,부산광역시,해운대구,부산광역시 해운대구 해운대로 663,
(#)복싱짐,복싱,경상남도,진주시,경상남도 진주시 진양호로 91,
(CHK)씨에이치케이휘트니스,요가,경상남도,거제시,경상남도 거제시 중곡로 13,
(Dream ofJudo) 유성유도관,유도,대전광역시,유성구,대전광역시 유성구 계룡로 150,
(Dreamofjudo)영동유도관,유도,충청북도,영동군,충청북도 영동군 영동읍 계산로 35-1,
(H)필라테스남창점,필라테스,울산광역시,울주군,울산광역시 울주군 온양읍 솔밭3길 18,0522377879
(I.CAN) 아이캔태권도장,태권도,대구광역시,달서구,대구광역시 달서구 조암남로 172-12,
(JNS)유도멀티짐,유도,경기도,용인시,경기도 용인시 기흥구 강남로 9,
(JNS)유도체육관,유도,경기도,평택시,경기도 평택시 비전2로 200,
(JTA)가온누리태권도,태권도,전북특별자치도,순창군,전라북도 순창군 순창읍 장류로 380,
(KHU) 경희대 태권도장,태권도,경기도,고양시,경기도 고양시 덕양구 중앙로 440,
(KSA)한국체대입시학원,기타종목,서울특별시,송파구,서울특별시 송파구 백제고분로 63,
(No.1)천하태권도장,태권도,인천광역시,연수구,인천광역시 연수구 랜드마크로 19,
(가)천안W축구교실,축구,충청남도,천안시,충청남도 천안시 동남구 가마골1길 12,
(권곡동)사계절푸른솔태권도,태권도,충청남도,아산시,충남 아산시 권곡동 ,
(비대면)KEEPFIT,기타종목,서울특별시,강남구,서울특별시 강남구 선릉로 428,
(사)강릉중앙에프씨유소년축구단,축구,강원특별자치도,강릉시,강원도 강릉시 강변로 422,
(사)거제시 공공스포츠클럽,기타종목,경상남도,거제시,경상남도 거제시 계룡로11길 26,0556337337
(사)계양스포츠클럽,배드민턴,인천광역시,계양구,인천광역시 계양구 박촌로 4,0325487330
(사)광주거점스포츠클럽,태권도,광주광역시,서구,광주광역시 서구 금화로 240,
(사)광주광역시 서구 스포츠클럽,기타종목,광주광역시,서구,광주광역시 서구 상무누리로 123,
(사)나주스포츠클럽,요가,전라남도,나주시,전라남도 나주시 동신대길 113,
(사)동강공공스포츠클럽,배드민턴,광주광역시,북구,광주광역시 북구 동문대로 50,0625202444
(사)부산광역시거점스포츠클럽,테니스,부산광역시,동래구,부산광역시 동래구 종합운동장로 35-6,
(사)사하스포츠클럽,헬스,부산광역시,사하구,부산광역시 사하구 감천로 68,
(사)아산하키한우리스포츠클럽,기타종목,충청남도,아산시,충청남도 아산시 청운로 157,
(사)에프씨슈퍼평택,축구,경기도,평택시,경기도 평택시 안중읍 덕우2길 92-28,
(사)오산스포츠클럽,야구,경기도,오산시,경기도 오산시 경기동로 15,
(사)용인스포츠클럽,배드민턴,경기도,용인시,경기도 용인시 수지구 신봉1로 181,0318936584
(사)울산동구공공스포츠클럽 ,탁구,울산광역시,동구,울산광역시 동구 대송로 140,0522339222
(사)전북풋볼아카데미,축구,전북특별자치도,완주군,전라북도 완주군 이서면 출판로 46-12,0632211144
(사)함평나비유소년야구스포츠클럽,야구,전라남도,함평군,전라남도 함평군 대동면 함장로 1377,
(신)고려태권도,태권도,경상남도,김해시,경상남도 김해시 월산로 111-43,
(엘에프에이) LFA 소하점,축구,경기도,광명시,경기도 광명시 금하로 464,028971335
(오천)경희대인성태권도,태권도,전라남도,순천시,전라남도 순천시 순천만정원로 86,
(유)보스휘트니스,헬스,전라남도,여수시,전라남도 여수시 여서로 224,0616525504
(인라인강습)본트인라인클럽,롤러인라인,부산광역시,사상구,부산광역시 사상구 사상로 78,
(재)광주광역시동구문화관광재단(동구문화센타),수영,광주광역시,동구,광주광역시 동구 남문로 646,0622258700
(재)부산광역시사회체육센타,수영,부산광역시,해운대구,부산광역시 해운대구 APEC로 68,
(재)서울기독교청년회유지재단,기타종목,서울특별시,종로구,서울특별시 종로구 종로 69,
(재)서울기독교청년회유지재단(서울YMCA),기타종목,서울특별시,종로구,서울 종로구 종로2가 Y.M.C.A,
(제이에스)JS태권도장,태권도,경기도,안산시,경기도 안산시 상록구 광덕산안길 12,
(주) 대기공업 거제도해수보양온천,수영,경상남도,거제시,경상남도 거제시 수양로 507,
(주) 비알뇌교육 월성지점,기타종목,대구광역시,달서구,대구광역시 달서구 조암남로32길 20-4,0535837720
(주) 슈퍼키즈스윔,수영,강원특별자치도,원주시,강원특별자치도 원주시 백간길 25,0337357970
(주) 아일랜드웰니스컴퍼니(죽림점),헬스,경상남도,통영시,경상남도 통영시 광도면 죽림3로 43,
(주) 온타비 오렌지핑퐁,탁구,경기도,고양시,경기도 고양시 일산동구 강석로 153,
(주) 키즈풀 군산점,수영,전북특별자치도,군산시,전라북도 익산시 고봉로18길 28,0634647889
(주) 한길 스포츠 컨설팅,수영,경기도,광주시,경기도 광주시 수하길11번길 43,
(주)BR뇌교육 논산지점,기타종목,충청남도,논산시,충청남도 논산시 시민로295번길 5-21,0417327795
(주)WE휘트니스 첨단점,헬스,광주광역시,광산구,광주광역시 광산구 임방울대로826번길 29-31,
(주)경상북도올림푸스짐,태권도,경상북도,청도군,경상북도 청도군 이서면 학산2길 68,
(주)공감어울림,태권도,경기도,하남시,경기도 하남시 신장로 198,0317944797
(주)굿바디트레이닝,농구,광주광역시,북구,광주광역시 북구 초당로7번길 5,
(주)기장축구센터,축구,부산광역시,기장군,부산광역시 기장군 정관읍 산단5로 76-142,0517280708
(주)다락팩토리,축구,서울특별시,노원구,서울특별시 노원구 중계로12가길 29,
(주)더스포울산진장지점,헬스,울산광역시,북구,울산광역시 북구 진장17길 10,
(주)더하트점프,축구,경상남도,김해시,경상남도 김해시 능동로 117,
(주)도담,기타종목,충청남도,천안시,충청남도 천안시 서북구 검은들3길 46,
(주)동아스포츠센터,수영,대구광역시,수성구,대구광역시 수성구 지범로 59,
(주)디에스그룹-달서복싱.이곡헬스,복싱,대구광역시,달서구,대구광역시 달서구 달구벌대로 1328,
(주)로그테니스,테니스,경기도,용인시,경기도 용인시 수지구 신봉1로 175,0312720175
(주)로열키즈 로키스포츠클럽,검도,대전광역시,서구,대전광역시 서구 둔산중로 38,
(주)루트컴퍼니,롤러인라인,부산광역시,연제구,부산광역시 연제구 월드컵대로 54,0518686115
(주)루트컴퍼니 <펀펀짐 유소년스포츠센터 연제점>,롤러인라인,부산광역시,연제구,부산광역시 연제구 월드컵대로 54,
(주)마운틴그라운드,클라이밍(암벽등반),경기도,화성시,경기도 화성시 동탄대로5길 15,0313763348
(주)메이저스포츠산업,빙상,인천광역시,연수구,인천광역시 연수구 경원대로 526,
(주)미래레저산업 더심골프아카데미,골프,인천광역시,중구,인천광역시 중구 흰바위로 258,0327215161
(주)미진스포츠,수영,서울특별시,양천구,서울특별시 양천구 신목로 53,0226466096
(주)부바커 자전거 강습,기타종목,부산광역시,해운대구,부산광역시 해운대구 반여로 120,
(주)부천주니어 축구클럽,축구,경기도,부천시,경기도 부천시 평천로 797-7,
(주)비알뇌교육 마산지점,기타종목,경상남도,창원시,경상남도 창원시 마산합포구 월영남로 2,
(주)비알뇌교육 안동지점,기타종목,경상북도,안동시,경상북도 안동시 광명로 152,
(주)비알뇌교육 화명지점,기타종목,부산광역시,북구,부산광역시 북구 용당로15번길 11,0513357270
(주)비알뇌교육신제주지점,기타종목,제주특별자치도,제주시,제주특별자치도 제주시 국기중길 6-8,0647451785
(주)비알뇌교육신창지점,기타종목,광주광역시,광산구,광주광역시 광산구 신창로 64,0629527740
(주)비알뇌교육영주지점,기타종목,경상북도,영주시,경상북도 영주시 선비로 194,
(주)비알뇌교육일산지점,기타종목,경기도,고양시,경기도 고양시 일산서구 주화로 88,0319151239
(주)빅클라이밍,클라이밍,경상남도,진주시,경상남도 진주시 정촌면 삼일로105번길 32-15,0557631316
(주)세종스테이블,승마,세종특별자치시,세종시,세종특별자치시 장군면 평기큰골길 46-65,
(주)슈퍼스타 스위밍 영종,수영,인천광역시,중구,인천광역시 중구 하늘별빛로65번길 8-21,
(주)슈퍼키즈,수영,충청북도,청주시,충청북도 청주시 상당구 원봉로 25,
(주)스타키즈그룹 남구점,수영,울산광역시,남구,울산광역시 남구 봉월로59번길 10,0522569004
(주)스포니스신대방점,헬스,서울특별시,동작구,서울특별시 동작구 여의대방로22길 132,0221354770
(주)스포니어 슈팅존,기타종목,경기도,오산시,경기도 오산시 가장산업서로 11-17,0313746388
(주)스포츠아일랜드,기타종목,경기도,수원시,경기도 수원시 팔달구 월드컵로 310,0312592123
(주)시원패밀리,헬스,제주특별자치도,제주시,제주특별자치도 제주시 관덕로8길 17,
(주)시흥비젼센터,기타종목,경기도,시흥시,경기도 시흥시 마유로 416,
(주)신사스포츠센터,수영,서울특별시,서초구,서울특별시 서초구 나루터로 43,
(주)아슈먼컴퍼니,축구,서울특별시,양천구,서울특별시 양천구 신월로10길 16,
(주)아이공간 군포산본점,기타종목,경기도,군포시,경기도 군포시 번영로 515,
(주)아이풀 망포지점,수영,경기도,수원시,경기도 수원시 영통구 영통로 136,
(주)아쿠아비앤케이,수영,충청북도,청주시,충청북도 청주시 서원구 원흥로 11-11,
(주)아티스 필라테스,필라테스,경기도,고양시,경기도 고양시 덕양구 지축로 62,
(주)애플스포츠,롤러인라인,충청북도,충주시,충청북도 충주시 사직산7길 10,
(주)어뮤즈,롤러인라인,충청남도,천안시,충청남도 천안시 서북구 불당25로 146,
(주)에스더블유라온주니어스포츠센터,축구,경기도,용인시,경기도 용인시 기흥구 지삼로17번길 7,
(주)에스엠씨유소년축구교실,축구,강원특별자치도,원주시,강원도 원주시 판부면 남원로 288-6,0338130079
(주)에스지,골프,경상북도,성주군,경상북도 성주군 성주읍 주천로 248-38,0549318700
(주)에이블짐노원본점,헬스,서울특별시,노원구,서울특별시 노원구 상계로 77,07043270491
(주)에이플러스짐휘트니스,헬스,경기도,고양시,경기도 고양시 일산동구 일산로 229,
(주)에프스포렉스,수영,대전광역시,동구,대전광역시 동구 우암로 128,
(주)엠피아이모던필라테스 원주강원지부,필라테스,강원특별자치도,원주시,강원특별자치도 원주시 입춘로 110,0337435767
(주)예천문화사업단,기타종목,경상북도,예천군,경상북도 예천군 예천읍 양궁장길 38,
(주)옹이진이스포츠진흥원,기타종목,인천광역시,옹진군,인천광역시 옹진군 북도면 장봉로530번길 34,0327511199
